address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"H.C. Ørsteds Vej 27, 4. 251879 Frederiksberg C",rg C,1.625.000,18-05-2017,Fam. Salg,22.260,2,Lejlighed,73,1968,,Aktuel værdi
Hauchsvej 101825 Frederiksberg C,rg C,3.500.000,15-05-2017,Fam. Salg,16.203,7,Villa,216,1873,,Aktuel værdi
"Forchhammersvej 29, 1. TH1920 Frederiksberg C",rg C,1.700.000,11-05-2017,Alm. Salg,16.666,5,Lejlighed,102,1901,,Aktuel værdi
"Gammel Kongevej 164, 1. TH1850 Frederiksberg C",rg C,3.000.000,11-05-2017,Fam. Salg,20.833,5,Lejlighed,144,1884,,Aktuel værdi
"Jakob Dannefærds Vej 9, 1. TH1973 Frederiksberg C",rg C,2.000.000,10-05-2017,Fam. Salg,22.988,3,Lejlighed,87,1890,,Aktuel værdi
"Steenstrups Alle 7, 2. TV1924 Frederiksberg C",rg C,5.495.000,10-05-2017,Alm. Salg,58.457,4,Lejlighed,94,1898,0 %,Aktuel værdi
"Amalievej 22, 3. TH1875 Frederiksberg C",rg C,2.992.500,04-05-2017,Fam. Salg,23.562,5,Lejlighed,127,1904,,Aktuel værdi
"Dr. Priemes Vej 10, 4. TH1854 Frederiksberg C",rg C,5.895.000,27-04-2017,Alm. Salg,49.537,5,Lejlighed,119,1902,,Aktuel værdi
"H.C. Ørsteds Vej 59, 2. TH1879 Frederiksberg C",rg C,5.400.000,26-04-2017,Alm. Salg,42.519,4,Lejlighed,127,1891,-2 %,Aktuel værdi
"Kingosgade 11, 4. 1071818 Frederiksberg C",rg C,1.350.000,24-04-2017,Alm. Salg,23.684,2,Lejlighed,57,1970,-41 %,Aktuel værdi
"Gammel Kongevej 151, 2. 31850 Frederiksberg C",rg C,1.380.000,24-04-2017,Fam. Salg,23.793,2,Lejlighed,58,1974,,Aktuel værdi
"J.M.Thieles Vej 10B, 21961 Frederiksberg C",rg C,3.400.000,23-04-2017,Alm. Salg,45.945,2,Lejlighed,74,1878,-3 %,Aktuel værdi
"Madvigs Alle 3, 1. TH1829 Frederiksberg C",rg C,5.900.000,21-04-2017,Alm. Salg,38.815,4,Lejlighed,152,1896,,Aktuel værdi
"H.C. Ørsteds Vej 27, 2. 101879 Frederiksberg C",rg C,1.360.000,20-04-2017,Fam. Salg,18.630,2,Lejlighed,73,1968,,Aktuel værdi
"Platanvej 6, 7. 21810 Frederiksberg C",rg C,2.800.000,20-04-2017,Alm. Salg,38.888,2,Lejlighed,72,1972,,Aktuel værdi
"Edisonsvej 12, 4. TH1856 Frederiksberg C",rg C,6.945.000,15-04-2017,Alm. Salg,49.255,4,Lejlighed,141,1891,1 %,Aktuel værdi
"Thorvaldsensvej 19, ST. TH1871 Frederiksberg C",rg C,1.660.000,12-04-2017,Fam. Salg,18.863,3,Lejlighed,88,1909,,Aktuel værdi
"Gammel Kongevej 72A, 4. TV1850 Frederiksberg C",rg C,1.275.000,06-04-2017,Fam. Salg,20.238,2,Lejlighed,63,1941,,Aktuel værdi
"Erik Menveds Vej 3, 1. TV1965 Frederiksberg C",rg C,3.955.000,06-04-2017,Alm. Salg,44.438,4,Lejlighed,89,1886,0 %,Aktuel værdi
"Steenwinkelsvej 9, 2. MF1966 Frederiksberg C",rg C,2.250.000,05-04-2017,Alm. Salg,39.473,2,Lejlighed,57,1967,-4 %,Aktuel værdi
"Grundtvigsvej 5, 4. TH1864 Frederiksberg C",rg C,6.670.000,04-04-2017,Alm. Salg,56.050,4,Lejlighed,119,1884,0 %,Aktuel værdi
"Lykkesholms Allé 7B, ST. TH1902 Frederiksberg C",rg C,3.695.000,03-04-2017,Alm. Salg,49.266,3,Lejlighed,75,1904,0 %,Aktuel værdi
"Frederiksberg Alle 37, 2. TH1820 Frederiksberg C",rg C,7.850.000,02-04-2017,Alm. Salg,53.767,5,Lejlighed,146,1889,3 %,Aktuel værdi
"Rosenørns Alle 58, 2. TV1970 Frederiksberg C",rg C,1.800.000,31-03-2017,Alm. Salg,20.689,4,Lejlighed,87,1886,,Aktuel værdi
"Worsaaesvej 12A, ST. TV1972 Frederiksberg C",rg C,1.572.500,30-03-2017,Fam. Salg,18.720,3,Lejlighed,84,1876,,Aktuel værdi
"Forchhammersvej 27, 1. TH1920 Frederiksberg C",rg C,4.695.000,29-03-2017,Alm. Salg,49.946,4,Lejlighed,94,1901,0 %,Aktuel værdi
"Danasvej 39, ST. TV1910 Frederiksberg C",rg C,1.725.000,29-03-2017,Fam. Salg,26.538,3,Lejlighed,65,1875,,Aktuel værdi
"Vesterbrogade 171, 3. TH1800 Frederiksberg C",rg C,5.100.000,29-03-2017,Alm. Salg,40.157,5,Lejlighed,127,1924,2 %,Aktuel værdi
"Gammel Kongevej 142, 2. TV1850 Frederiksberg C",rg C,1.725.000,28-03-2017,Alm. Salg,11.655,5,Lejlighed,148,1884,,Aktuel værdi
"Forchhammersvej 31, ST. TH1920 Frederiksberg C",rg C,2.255.000,27-03-2017,Fam. Salg,24.510,3,Lejlighed,92,1901,,Aktuel værdi
"Carl Bernhards Vej 13B, 1. 241817 Frederiksberg C",rg C,1.400.000,26-03-2017,Alm. Salg,27.450,1,Lejlighed,51,1970,,Aktuel værdi
"Jakob Dannefærds Vej 10B, 1. TH1973 Frederiksberg C",rg C,2.000.000,26-03-2017,Alm. Salg,43.478,2,Lejlighed,46,1885,-5 %,Aktuel værdi
"H.C. Ørsteds Vej 54A, 3. TV1879 Frederiksberg C",rg C,3.269.368,26-03-2017,Alm. Salg,41.384,2,Lejlighed,79,1938,-1 %,Aktuel værdi
"Lykkesholms Allé 7C, ST. TV1902 Frederiksberg C",rg C,1.360.000,25-03-2017,Fam. Salg,19.710,2,Lejlighed,69,1904,,Aktuel værdi
"Niels Ebbesens Vej 22B, 31911 Frederiksberg C",rg C,3.095.000,24-03-2017,Alm. Salg,48.359,3,Lejlighed,64,1873,0 %,Aktuel værdi
Nyvej 131851 Frederiksberg C,rg C,19.000.000,24-03-2017,Alm. Salg,60.126,10,Villa,316,1877,,Aktuel værdi
"Rosenørns Alle 68, 31970 Frederiksberg C",rg C,2.423.500,23-03-2017,Fam. Salg,16.486,5,Lejlighed,147,1906,,Aktuel værdi
"Henrik Ibsens Vej 6, ST. TV1813 Frederiksberg C",rg C,2.900.000,23-03-2017,Andet,40.845,3,Lejlighed,71,1938,-9 %,Aktuel værdi
"Platanvej 7, 8. 401810 Frederiksberg C",rg C,2.185.000,22-03-2017,Fam. Salg,27.658,2,Lejlighed,79,1976,,Aktuel værdi
"Martensens Alle 4A, 3. TV1828 Frederiksberg C",rg C,5.800.000,19-03-2017,Alm. Salg,53.211,4,Lejlighed,109,1896,,Aktuel værdi
"Carl Bernhards Vej 13B, 1. 191817 Frederiksberg C",rg C,2.050.000,18-03-2017,Alm. Salg,40.196,2,Lejlighed,51,1970,0 %,Aktuel værdi
"Carl Plougs Vej 9, 51913 Frederiksberg C",rg C,6.900.000,17-03-2017,Alm. Salg,53.076,4,Lejlighed,130,1902,-1 %,Aktuel værdi
"Grundtvigsvej 34, 1. TH1864 Frederiksberg C",rg C,4.600.000,15-03-2017,Alm. Salg,47.916,5,Lejlighed,96,1880,-4 %,Aktuel værdi
"Gammel Kongevej 148, 4. TH1850 Frederiksberg C",rg C,9.850.000,13-03-2017,Alm. Salg,43.973,6,Lejlighed,224,1905,-7 %,Aktuel værdi
"Christian Winthers Vej 1B, 2. TV1860 Frederiksberg C",rg C,4.275.000,11-03-2017,Alm. Salg,45.000,3,Lejlighed,95,1900,-3 %,Aktuel værdi
