address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Schleppegrellsgade 10, ST. TV2200 København N",vn N,4.395.000,24-05-2017,Alm. Salg,47.771,4,Lejlighed,92,1892,0 %,Aktuel værdi
"Blågårdsgade 26, 3. 232200 København N",vn N,1.160.000,23-05-2017,Fam. Salg,19.661,1,Lejlighed,59,1972,,Aktuel værdi
"Sortedam Dossering 41D, 4. TV2200 København N",vn N,2.000.000,22-05-2017,Fam. Salg,33.333,2,Lejlighed,60,1963,,Aktuel værdi
"Gormsgade 6, 1. 62200 København N",vn N,1.357.000,19-05-2017,Fam. Salg,15.779,3,Lejlighed,86,1965,,Aktuel værdi
"Egegade 10, 5. TV2200 København N",vn N,1.318.000,17-05-2017,Fam. Salg,25.346,2,Lejlighed,52,1893,,Aktuel værdi
"Rådmandsgade 40B, 4. TH2200 København N",vn N,1.825.000,17-05-2017,Alm. Salg,33.796,2,Lejlighed,54,1899,-4 %,Aktuel værdi
"Bjelkes Allé 37, 12200 København N",vn N,2.380.000,09-05-2017,Alm. Salg,14.512,6,Lejlighed,164,1884,,Aktuel værdi
"Sandbjerggade 54, 2. TH2200 København N",vn N,1.725.000,07-05-2017,Alm. Salg,39.204,2,Lejlighed,44,1935,-7 %,Aktuel værdi
"Rådmandsgade 40C, 1. 832200 København N",vn N,561.000,05-05-2017,Fam. Salg,12.750,1,Lejlighed,44,1967,,Aktuel værdi
"Poppelgade 1, 1. TH2200 København N",vn N,1.860.000,04-05-2017,Alm. Salg,41.333,2,Lejlighed,45,1886,-7 %,Aktuel værdi
"Baldersgade 39, 1. TH2200 København N",vn N,3.900.000,03-05-2017,Alm. Salg,43.333,4,Lejlighed,90,1906,-2 %,Aktuel værdi
"Birkegade 15, 3. TH2200 København N",vn N,1.437.500,03-05-2017,Fam. Salg,27.644,2,Lejlighed,52,1892,,Aktuel værdi
"Vølundsgade 22, 4. TV2200 København N",vn N,1.900.000,02-05-2017,Alm. Salg,32.758,2,Lejlighed,58,1907,,Aktuel værdi
"Krogerupgade 51, 2. TH2200 København N",vn N,1.046.532,01-05-2017,Fam. Salg,19.745,2,Lejlighed,53,1935,,Aktuel værdi
"Sigynsgade 44, ST. TV2200 København N",vn N,892.500,01-05-2017,Fam. Salg,14.875,1,Lejlighed,60,1991,,Aktuel værdi
"Tagensvej 56, 3. TH2200 København N",vn N,1.440.000,27-04-2017,Fam. Salg,21.176,3,Lejlighed,68,1933,,Aktuel værdi
