address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Nyballe 76310 Broager,ager,606.415,10-05-2017,Fam. Salg,2.929,6,Villa,207,1986,,Aktuel værdi
Østerballe 9B6310 Broager,ager,407.646,10-05-2017,Fam. Salg,3.135,4,Villa,130,1987,,Aktuel værdi
Guldgruben 26310 Broager,ager,1.280.000,28-04-2017,Alm. Salg,25.098,2,Sommerhus,51,1969,-1 %,Aktuel værdi
Guldgruben 56310 Broager,ager,300.000,28-04-2017,Fam. Salg,5.555,3,Sommerhus,54,1968,,Aktuel værdi
Klør-Fire 8A6310 Broager,ager,2.475.000,11-04-2017,Alm. Salg,16.176,3,Sommerhus,153,1976,,Aktuel værdi
Brombjerg 66310 Broager,ager,1.795.000,07-04-2017,Alm. Salg,11.218,5,Villa,160,1996,0 %,Aktuel værdi
Nyballe 206310 Broager,ager,325.000,03-04-2017,Alm. Salg,3.125,4,Villa,104,1980,-48 %,Aktuel værdi
Søndermarken 106310 Broager,ager,600.000,21-03-2017,Alm. Salg,12.000,3,Sommerhus,50,1969,,Aktuel værdi
Brombjerg 656310 Broager,ager,2.100.000,06-03-2017,Alm. Salg,11.170,6,Villa,188,2000,-6 %,Aktuel værdi
Skodsbølvej 306310 Broager,ager,1.742.500,01-03-2017,Fam. Salg,11.616,7,Stuehus,150,1903,,
Mågevænget 86310 Broager,ager,530.000,24-02-2017,Alm. Salg,3.840,5,Villa,138,1969,6 %,Aktuel værdi
Farverløkke 296310 Broager,ager,1.375.000,10-02-2017,Alm. Salg,9.046,5,Villa,152,1977,,Aktuel værdi
Solsortevej 46310 Broager,ager,775.000,01-02-2017,Alm. Salg,5.381,4,Villa,144,1967,0 %,Aktuel værdi
Dyntvej 626310 Broager,ager,287.500,31-01-2017,Fam. Salg,2.098,5,Villa,137,2004,,Aktuel værdi
Skeldevigvej 166310 Broager,ager,765.000,29-01-2017,Fam. Salg,9.807,4,Sommerhus,78,1901,,Aktuel værdi
Illervej 306310 Broager,ager,330.000,20-01-2017,Alm. Salg,3.235,4,Villa,102,1956,,Aktuel værdi
Nejsled 86310 Broager,ager,1.495.000,20-01-2017,Alm. Salg,10.310,4,Villa,145,2007,0 %,Aktuel værdi
Møllegade 926310 Broager,ager,247.500,18-01-2017,Fam. Salg,2.426,4,Villa,102,1978,,Aktuel værdi
Højløkke 186310 Broager,ager,750.000,16-01-2017,Alm. Salg,6.696,4,Villa,112,1974,-11 %,Aktuel værdi
Skeldevej 296310 Broager,ager,1.913.700,11-01-2017,Alm. Salg,19.137,4,Stuehus,100,1800,,
Sct Pauli 166310 Broager,ager,1.195.000,22-12-2016,Alm. Salg,9.484,4,Villa,126,2001,0 %,Aktuel værdi
Sletmarken 436310 Broager,ager,1.035.000,19-12-2016,Alm. Salg,8.625,4,Villa,120,1987,-1 %,Aktuel værdi
Brunsnæs-Fjordvejen 216310 Broager,ager,452.785,19-12-2016,Alm. Salg,3.144,4,Villa,144,1880,-54 %,Aktuel værdi
Søndermarken 36310 Broager,ager,156.500,14-12-2016,Alm. Salg,2.301,4,Sommerhus,68,1971,,Aktuel værdi
Bakkevænget 186310 Broager,ager,1.200.000,07-12-2016,Alm. Salg,7.185,7,Villa,167,1975,-7 %,Aktuel værdi
Brovej 736310 Broager,ager,1.800.000,05-12-2016,Alm. Salg,6.545,10,Villa,275,1937,,Aktuel værdi
Ved Kysten 136310 Broager,ager,573.750,28-11-2016,Fam. Salg,6.375,3,Sommerhus,90,1987,,Aktuel værdi
Illerstrandvej 356310 Broager,ager,225.000,20-10-2016,Alm. Salg,2.500,5,Sommerhus,90,1908,,Aktuel værdi
Hasselvej 146310 Broager,ager,425.000,18-10-2016,Alm. Salg,6.854,3,Sommerhus,62,1962,13 %,Aktuel værdi
Birkevej 106310 Broager,ager,950.000,18-10-2016,Alm. Salg,12.837,3,Sommerhus,74,1961,-5 %,Aktuel værdi
Krammarksvej 346310 Broager,ager,968.500,17-10-2016,Alm. Salg,7.121,3,Villa,136,1897,,Aktuel værdi
Kløvervænget 126310 Broager,ager,800.000,14-10-2016,Alm. Salg,16.666,2,Sommerhus,48,1957,-9 %,Aktuel værdi
Nørreløkke 96310 Broager,ager,600.000,13-10-2016,Alm. Salg,8.000,3,Sommerhus,75,1966,-11 %,Aktuel værdi
Sct Pauli 306310 Broager,ager,629.000,12-10-2016,Fam. Salg,4.221,5,Villa,149,1880,,Aktuel værdi
Smøl 366310 Broager,ager,600.000,29-09-2016,Alm. Salg,6.593,3,Villa,91,1850,-14 %,Aktuel værdi
Hasselvej 86310 Broager,ager,750.000,28-09-2016,Alm. Salg,13.636,2,Sommerhus,55,1959,-16 %,Aktuel værdi
Farverløkke 716310 Broager,ager,1.050.000,26-09-2016,Alm. Salg,8.203,4,Villa,128,1977,-7 %,Aktuel værdi
Vemmingbundstrandvej 56310 Broager,ager,2.350.000,23-09-2016,Alm. Salg,24.479,4,Sommerhus,96,2003,-6 %,Aktuel værdi
Skeldevej 316310 Broager,ager,2.140.000,23-09-2016,Alm. Salg,9.953,6,Villa,215,1858,-6 %,Aktuel værdi
Østerled 36310 Broager,ager,1.330.000,22-09-2016,Alm. Salg,10.230,5,Villa,130,1976,-3 %,Aktuel værdi
Pilevej 66310 Broager,ager,750.000,22-09-2016,Alm. Salg,11.538,3,Sommerhus,65,2006,,Aktuel værdi
Kastanievej 86310 Broager,ager,315.000,19-09-2016,Alm. Salg,6.428,2,Sommerhus,49,1962,,Aktuel værdi
Østermarken 186310 Broager,ager,500.000,08-09-2016,Fam. Salg,5.882,4,Villa,85,1964,,Aktuel værdi
Mølmark 96310 Broager,ager,920.000,22-08-2016,Alm. Salg,7.244,5,Villa,127,1876,,Aktuel værdi
Nørreløkke 86310 Broager,ager,755.000,15-08-2016,Alm. Salg,8.296,3,Sommerhus,91,1968,-5 %,Aktuel værdi
Møllegade 86310 Broager,ager,610.000,02-08-2016,Alm. Salg,3.193,5,Villa,191,1900,,Aktuel værdi
Gammelmark 266310 Broager,ager,263.333,01-08-2016,Andet,3.872,4,Sommerhus,68,1860,,Aktuel værdi
Pileløkke 506310 Broager,ager,1.280.000,23-07-2016,Alm. Salg,9.624,4,Villa,133,1978,-8 %,Aktuel værdi
Nejs Bjerg 576310 Broager,ager,1.995.000,22-07-2016,Alm. Salg,12.239,6,Villa,163,2006,-5 %,Aktuel værdi
Engen 56310 Broager,ager,600.000,04-07-2016,Alm. Salg,15.000,2,Sommerhus,40,1967,,Aktuel værdi
Højtoften 66310 Broager,ager,595.000,29-06-2016,Alm. Salg,10.625,3,Sommerhus,56,1969,,Aktuel værdi
Vemmingbundstrandvej 906310 Broager,ager,1.900.000,25-06-2016,Alm. Salg,13.571,7,Villa,140,1904,-13 %,Aktuel værdi
Vandstedbækvej 76310 Broager,ager,450.000,22-06-2016,Alm. Salg,2.601,6,Stuehus,173,1971,,
Bakken 86310 Broager,ager,635.000,20-06-2016,Alm. Salg,12.700,3,Sommerhus,50,1967,0 %,Aktuel værdi
Søndermarken 56310 Broager,ager,600.000,17-06-2016,Fam. Salg,16.216,3,Sommerhus,37,1966,,Aktuel værdi
Nattergalevej 66310 Broager,ager,680.000,17-06-2016,Alm. Salg,7.234,4,Villa,94,1967,-2 %,Aktuel værdi
Ringgade 106310 Broager,ager,1.575.000,13-06-2016,Alm. Salg,8.118,5,Villa,194,1894,-1 %,Aktuel værdi
Ringridervej 126310 Broager,ager,1.240.000,10-06-2016,Alm. Salg,8.794,5,Villa,141,1953,-7 %,Aktuel værdi
Smølled 46310 Broager,ager,775.000,03-06-2016,Alm. Salg,4.353,6,Villa,178,1870,-8 %,Aktuel værdi
Hasselvej 156310 Broager,ager,995.000,03-06-2016,Alm. Salg,16.311,3,Sommerhus,61,1993,-9 %,Aktuel værdi
Toften 46310 Broager,ager,600.000,18-05-2016,Alm. Salg,6.382,3,Villa,94,1960,-14 %,Aktuel værdi
Farverløkke 16310 Broager,ager,995.000,18-05-2016,Alm. Salg,8.577,6,Villa,116,1975,0 %,Aktuel værdi
Bækvej 76310 Broager,ager,1.010.000,12-05-2016,Alm. Salg,15.538,5,Sommerhus,65,1964,-8 %,Aktuel værdi
Lunden 136310 Broager,ager,1.370.000,11-05-2016,Alm. Salg,15.747,4,Sommerhus,87,2000,-2 %,Aktuel værdi
Brombjerg 86310 Broager,ager,1.600.000,28-04-2016,Alm. Salg,9.248,6,Villa,173,1997,-14 %,Aktuel værdi
Vesterbakke 116310 Broager,ager,650.749,28-04-2016,Fam. Salg,6.640,3,Villa,98,1948,,Aktuel værdi
Drosselvænget 26310 Broager,ager,590.444,26-04-2016,Fam. Salg,3.690,4,Villa,160,1970,,Aktuel værdi
Østermarken 206310 Broager,ager,707.344,20-04-2016,Andet,4.747,5,Villa,149,1967,,Aktuel værdi
Birkevej 56310 Broager,ager,682.500,20-04-2016,Alm. Salg,11.008,4,Sommerhus,62,1961,,Aktuel værdi
Frydenlund 96310 Broager,ager,1.400.000,19-04-2016,Andet,40.000,2,Sommerhus,35,1984,,Aktuel værdi
Frydenlund 136310 Broager,ager,1.075.000,18-04-2016,Fam. Salg,12.951,4,Sommerhus,83,1873,,Aktuel værdi
Bakkevænget 156310 Broager,ager,1.900.000,18-04-2016,Alm. Salg,9.500,6,Villa,200,1973,-5 %,Aktuel værdi
Solvang 166310 Broager,ager,575.000,07-04-2016,Alm. Salg,11.500,2,Sommerhus,50,1967,-3 %,Aktuel værdi
Solsortevej 96310 Broager,ager,1.995.000,06-04-2016,Alm. Salg,11.531,4,Villa,173,1977,0 %,Aktuel værdi
Skodsbølvej 1066310 Broager,ager,780.000,04-04-2016,Alm. Salg,4.148,4,Villa,188,1896,-13 %,Aktuel værdi
Skeldebro 116310 Broager,ager,972.500,15-03-2016,Fam. Salg,3.167,7,Villa,307,1928,,Aktuel værdi
I P Nielsensvej 1A6310 Broager,ager,995.000,11-03-2016,Alm. Salg,7.210,5,Villa,138,1966,0 %,Aktuel værdi
Vemmingbundstrandvej 546310 Broager,ager,715.000,25-02-2016,Alm. Salg,5.181,5,Villa,138,1875,-43 %,Aktuel værdi
Allegade 96310 Broager,ager,820.000,25-02-2016,Alm. Salg,7.809,4,Villa,105,1968,-8 %,Aktuel værdi
Farverløkke 466310 Broager,ager,1.145.000,05-02-2016,Alm. Salg,10.223,4,Villa,112,1977,-3 %,Aktuel værdi
Vesterbakke 186310 Broager,ager,975.000,03-02-2016,Fam. Salg,1.950,19,Villa,500,1930,-70 %,Aktuel værdi
Slotsvej 126310 Broager,ager,450.000,01-02-2016,Fam. Salg,2.848,3,Villa,158,1900,,Aktuel værdi
Møllevænget 96310 Broager,ager,850.000,28-01-2016,Alm. Salg,6.640,5,Stuehus,128,1926,-5 %,
Damløkke 106310 Broager,ager,656.321,27-01-2016,Alm. Salg,7.813,3,Sommerhus,84,1994,,Aktuel værdi
Sletmarken 96310 Broager,ager,750.000,27-01-2016,Fam. Salg,4.360,5,Villa,172,1980,,Aktuel værdi
Højløkke 126310 Broager,ager,1.120.000,25-01-2016,Alm. Salg,9.256,4,Villa,121,1973,-6 %,Aktuel værdi
Skodsbølvej 246310 Broager,ager,708.906,15-01-2016,Fam. Salg,3.580,7,Villa,198,1888,,Aktuel værdi
Lunden 66310 Broager,ager,800.000,10-01-2016,Alm. Salg,13.333,5,Sommerhus,60,1961,,Aktuel værdi
Lunden 56310 Broager,ager,900.000,03-01-2016,Alm. Salg,16.666,3,Sommerhus,54,1989,-17 %,Aktuel værdi
Møllevænget 46310 Broager,ager,442.500,30-12-2015,Fam. Salg,3.511,3,Villa,126,1900,,Aktuel værdi
Mosevænget 26310 Broager,ager,620.000,23-12-2015,Fam. Salg,4.189,6,Villa,148,1965,,Aktuel værdi
Drosselvænget 176310 Broager,ager,2.110.000,22-12-2015,Alm. Salg,9.590,6,Villa,220,1972,-2 %,Aktuel værdi
Vesterbakke 96310 Broager,ager,900.000,21-12-2015,Alm. Salg,6.293,5,Villa,143,1948,,Aktuel værdi
Østergade 126310 Broager,ager,900.000,15-12-2015,Alm. Salg,7.031,4,Villa,128,1877,-5 %,Aktuel værdi
Overballe 116310 Broager,ager,325.000,10-12-2015,Alm. Salg,3.066,4,Villa,106,1971,-18 %,Aktuel værdi
Krammarksvej 76310 Broager,ager,695.000,09-12-2015,Alm. Salg,8.176,2,Stuehus,85,1816,,
Birkevej 26310 Broager,ager,1.000.000,07-12-2015,Alm. Salg,12.048,4,Sommerhus,83,1968,,Aktuel værdi
Fasanvænget 116310 Broager,ager,750.000,27-11-2015,Alm. Salg,7.978,4,Villa,94,1969,,Aktuel værdi
Illerstrandvej 266310 Broager,ager,20.155,26-11-2015,Fam. Salg,167,5,Fritid,120,1870,,Aktuel værdi
I P Nielsensvej 66310 Broager,ager,1.145.000,17-11-2015,Alm. Salg,8.875,4,Villa,129,1968,0 %,Aktuel værdi
Østerballe 8A6310 Broager,ager,960.000,13-11-2015,Alm. Salg,3.966,6,Villa,242,1980,-4 %,Aktuel værdi
Pileløkke 26310 Broager,ager,1.265.000,11-11-2015,Alm. Salg,9.035,4,Villa,140,1976,-6 %,Aktuel værdi
Kastanievej 166310 Broager,ager,900.000,11-11-2015,Alm. Salg,14.754,3,Sommerhus,61,1950,-18 %,Aktuel værdi
Hasselvej 26310 Broager,ager,425.000,20-10-2015,Alm. Salg,6.967,3,Sommerhus,61,1922,,Aktuel værdi
Sletmarken 396310 Broager,ager,1.600.000,16-10-2015,Alm. Salg,11.111,5,Villa,144,2006,-4 %,Aktuel værdi
Højløkke 606310 Broager,ager,1.600.000,09-10-2015,Alm. Salg,6.722,6,Villa,238,1975,-6 %,Aktuel værdi
Damløkke 116310 Broager,ager,1.540.000,08-10-2015,Alm. Salg,18.333,4,Sommerhus,84,1993,,Aktuel værdi
Østerhøj 106310 Broager,ager,800.000,05-10-2015,Alm. Salg,6.400,5,Villa,125,1980,,Aktuel værdi
Smøl 346310 Broager,ager,670.000,02-10-2015,Alm. Salg,6.767,3,Villa,99,1900,-4 %,Aktuel værdi
Østerled 2A6310 Broager,ager,750.000,30-09-2015,Alm. Salg,8.522,3,Rækkehus,88,1980,-6 %,Aktuel værdi
Østerballe 26310 Broager,ager,535.000,28-09-2015,Alm. Salg,3.566,6,Villa,150,1974,-10 %,Aktuel værdi
Sct Pauli 256310 Broager,ager,2.100.000,27-09-2015,Alm. Salg,9.459,5,Villa,222,1996,-4 %,Aktuel værdi
Skodsbølvej 716310 Broager,ager,1.861.500,21-09-2015,Fam. Salg,11.014,9,Stuehus,169,1850,,
Nejs Bjerg 356310 Broager,ager,2.495.000,18-09-2015,Alm. Salg,8.910,7,Villa,280,2001,0 %,Aktuel værdi
Gammelmark 226310 Broager,ager,289.000,16-09-2015,Fam. Salg,2.020,3,Villa,143,1911,,Aktuel værdi
Vinkelvej 16310 Broager,ager,1.095.000,14-09-2015,Alm. Salg,8.975,5,Villa,122,1966,0 %,Aktuel værdi
Nørreløkke 126310 Broager,ager,935.000,14-09-2015,Alm. Salg,10.872,3,Sommerhus,86,1968,-6 %,Aktuel værdi
