idx,street,postcode,housenumber,lon,lat
1923793,Sønderhedevej,7884,1,9.019925,56.804232
1923797,Sønderhedevej,7884,1A,9.019728,56.804089
1923801,Sønderhedevej,7884,1B,9.019806,56.804095
1923804,Sønderhedevej,7884,1C,9.019893,56.804103
1923807,Sønderhedevej,7884,1D,9.019738,56.80403
1923810,Sønderhedevej,7884,1E,9.019816,56.804034
1923814,Sønderhedevej,7884,1F,9.01991,56.80404
1923818,Sønderhedevej,7884,2,9.019533,56.805039
1923822,Sønderhedevej,7884,3A,9.019154,56.804214
1923823,Sønderhedevej,7884,3B,9.019268,56.804218
1923827,Sønderhedevej,7884,3C,9.019387,56.80422
1923829,Sønderhedevej,7884,3D,9.019486,56.804224
1923832,Sønderhedevej,7884,3E,9.019196,56.804149
1923834,Sønderhedevej,7884,3F,9.019323,56.804155
1923836,Sønderhedevej,7884,3G,9.019449,56.804158
1923837,Sønderhedevej,7884,4,9.019446,56.805371
1923840,Sønderhedevej,7884,6,9.019133,56.804905
1923841,Sønderhedevej,7884,7,9.019435,56.804671
1923843,Sønderhedevej,7884,8,9.018863,56.804853
1923844,Sønderhedevej,7884,10,9.018432,56.804781
1923847,Sønderhedevej,7884,11,9.018764,56.804534
1923848,Sønderhedevej,7884,12,9.018141,56.804733
1923850,Sønderhedevej,7884,13,9.018416,56.804456
1923851,Sønderhedevej,7884,14,9.017729,56.804659
1923854,Sønderhedevej,7884,15,9.017959,56.804373
1923855,Sønderhedevej,7884,16,9.017457,56.804612
1923857,Sønderhedevej,7884,17,9.017699,56.804321
1923858,Sønderhedevej,7884,18,9.017179,56.804552
1923860,Sønderhedevej,7884,19,9.017421,56.804206
1923862,Sønderhedevej,7884,20,9.016912,56.804448
1923865,Sønderhedevej,7884,21,9.017161,56.804178
1923866,Sønderhedevej,7884,22,9.016603,56.804522
1923868,Sønderhedevej,7884,23,9.016831,56.804063
1923870,Sønderhedevej,7884,24,9.016126,56.804339
1923872,Sønderhedevej,7884,25,9.016448,56.804067
1923874,Sønderhedevej,7884,26,9.015722,56.804271
1923876,Sønderhedevej,7884,27,9.016113,56.804031
1923878,Sønderhedevej,7884,28,9.015452,56.804231
1923880,Sønderhedevej,7884,29,9.015833,56.803966
1923882,Sønderhedevej,7884,30,9.01521,56.804177
1923886,Sønderhedevej,7884,33,9.015099,56.803882
1923889,Sønderhedevej,7884,34,9.014448,56.804393
1923890,Sønderhedevej,7884,38,9.014076,56.804047
1923893,Sønderhedevej,7884,40,9.013947,56.804468
1923895,Sønderhedevej,7884,42,9.013793,56.804804
1923896,Sønderhedevej,7884,44,9.013613,56.804253
1923899,Sønderhedevej,7884,46,9.01344,56.803979
1923900,Sønderhedevej,7884,48,9.013246,56.803796
1923902,Sønderhedevej,7884,50,9.012947,56.803783
1923904,Sønderhedevej,7884,52,9.012683,56.803763
1923906,Sønderhedevej,7884,52A,9.012575,56.804252
1923909,Sønderhedevej,7884,54,9.012335,56.803709
1923911,Sønderhedevej,7884,56,9.012065,56.803689
1923912,Sønderhedevej,7884,58,9.011767,56.803549
1923915,Sønderhedevej,7884,60,9.011484,56.803527
1923917,Sønderhedevej,7884,60A,9.011322,56.803363
1923918,Sønderhedevej,7884,62,9.010908,56.803321
1923920,Sønderhedevej,7884,64,9.010543,56.803166
1923922,Sønderhedevej,7884,66,9.010281,56.80315
1923923,Sønderhedevej,7884,68,9.010031,56.80296
1929099,Ulstedvej,7884,1A,9.044148,56.841695
1929101,Ulstedvej,7884,1B,9.044906,56.842045
1929102,Ulstedvej,7884,2,9.045994,56.842229
1929105,Ulstedvej,7884,3,9.044682,56.842874
1929108,Ulstedvej,7884,3A,9.04475,56.843317
1929109,Ulstedvej,7884,4,9.045951,56.84277
1929112,Ulstedvej,7884,4A,9.045438,56.84362
1929114,Ulstedvej,7884,5,9.044697,56.843702
1929116,Ulstedvej,7884,6,9.045284,56.844146
1929119,Ulstedvej,7884,7,9.044024,56.843046
1929120,Ulstedvej,7884,8,9.044312,56.845306
1929123,Ulstedvej,7884,9,9.044059,56.843789
1929125,Ulstedvej,7884,10,9.044426,56.844759
1929127,Ulstedvej,7884,11,9.043057,56.843859
1929129,Ulstedvej,7884,12,9.043947,56.844891
1929132,Ulstedvej,7884,13,9.04225,56.843737
1929134,Ulstedvej,7884,14,9.043041,56.845379
1929137,Ulstedvej,7884,15,9.041374,56.843894
1929139,Ulstedvej,7884,17,9.04043,56.844027
1929141,Ulstedvej,7884,18,9.042527,56.844505
1929144,Ulstedvej,7884,19,9.039396,56.844206
1929147,Ulstedvej,7884,20,9.040364,56.845482
1929148,Ulstedvej,7884,21,9.038438,56.844269
1929150,Ulstedvej,7884,22,9.04044,56.844698
1929153,Ulstedvej,7884,23,9.037731,56.844338
1929155,Ulstedvej,7884,25,9.037794,56.843667
1929157,Ulstedvej,7884,27,9.037455,56.844629
1929159,Ulstedvej,7884,29,9.037208,56.844668
1929161,Ulstedvej,7884,30,9.037704,56.845551
1929163,Ulstedvej,7884,31,9.036836,56.844656
1929165,Ulstedvej,7884,32,9.037207,56.845565
