idx,street,postcode,housenumber,lon,lat
954368,Gammel Kattrupvej,8751,2,9.855329,55.945347
954369,Gammel Kattrupvej,8751,2B,9.8554154,55.9450225
954370,Gammel Kattrupvej,8751,4,9.855887,55.944619
954371,Gammel Kattrupvej,8751,6,9.855594,55.94415
954372,Gammel Kattrupvej,8751,6A,9.856877,55.944198
954373,Gammel Kattrupvej,8751,8,9.857377,55.944148
954374,Gammel Kattrupvej,8751,9,9.866385,55.9449459
954375,Gammel Kattrupvej,8751,10,9.857623,55.944442
954376,Gammel Kattrupvej,8751,11,9.8665521,55.9443409
954377,Gammel Kattrupvej,8751,12,9.8583833,55.9447029
954378,Gammel Kattrupvej,8751,12A,9.8585609,55.9440173
954379,Gammel Kattrupvej,8751,13,9.876382,55.946306
954380,Gammel Kattrupvej,8751,14,9.8655265,55.9439283
954381,Gammel Kattrupvej,8751,15,9.876213,55.946306
954382,Gammel Kattrupvej,8751,16,9.866454,55.9439908
954383,Gammel Kattrupvej,8751,17,9.876858,55.945851
954384,Gammel Kattrupvej,8751,18,9.8669599,55.9439585
954385,Gammel Kattrupvej,8751,19,9.877238,55.945575
1237695,Egevej,8751,17,9.8448071,55.9308818
1237700,Egevej,8751,21,9.8449698,55.9311834
2162503,Gartneralléen,8751,1,9.843572,55.92599
2162513,Gartneralléen,8751,2,9.842833,55.925813
2162524,Gartneralléen,8751,3,9.843969,55.925912
2162529,Gartneralléen,8751,4,9.842467,55.925752
2162537,Gartneralléen,8751,5,9.8443271,55.9262196
2162549,Gartneralléen,8751,6,9.841944,55.925786
2162556,Gartneralléen,8751,7,9.84439,55.925774
2162571,Gartneralléen,8751,8,9.8419288,55.9254712
2162578,Gartneralléen,8751,9,9.84393,55.925704
2162591,Gartneralléen,8751,10,9.842466,55.925492
2162596,Gartneralléen,8751,11,9.843548,55.925704
2162610,Gartneralléen,8751,12,9.842836,55.925503
2162614,Gartneralléen,8751,13,9.843546,55.925246
2162625,Gartneralléen,8751,14,9.84283,55.9251619
2162636,Gartneralléen,8751,15,9.84394,55.925257
2162644,Gartneralléen,8751,16,9.84242,55.925084
2162653,Gartneralléen,8751,17,9.844477,55.925326
2162660,Gartneralléen,8751,18,9.8418835,55.9250649
2162670,Gartneralléen,8751,19,9.844492,55.925022
2162684,Gartneralléen,8751,20,9.84192,55.92487
2162692,Gartneralléen,8751,21,9.843891,55.92506
2162700,Gartneralléen,8751,22,9.842477,55.924877
2162707,Gartneralléen,8751,23,9.8435885,55.9250649
2162715,Gartneralléen,8751,24,9.84288,55.924897
2162724,Gartneralléen,8751,25,9.8437363,55.9240154
2162731,Gartneralléen,8751,26,9.8428585,55.9242873
2162739,Gartneralléen,8751,27,9.8434296,55.9240117
2162747,Gartneralléen,8751,28,9.84244,55.924279
2162755,Gartneralléen,8751,29,9.843517,55.924186
2162765,Gartneralléen,8751,30,9.841947,55.924409
2162767,Gartneralléen,8751,31,9.84352,55.924324
2162773,Gartneralléen,8751,32,9.841906,55.924068
2162778,Gartneralléen,8751,33,9.8438166,55.9244244
2162782,Gartneralléen,8751,34,9.842477,55.923998
2162791,Gartneralléen,8751,35,9.844062,55.924428
2162793,Gartneralléen,8751,36,9.842823,55.9239941
2162799,Gartneralléen,8751,37,9.844192,55.924235
2162801,Gartneralléen,8751,38,9.842806,55.9237401
2162807,Gartneralléen,8751,39,9.844191,55.924063
2162814,Gartneralléen,8751,40,9.842401,55.923793
2162815,Gartneralléen,8751,41,9.84421,55.92381
2162821,Gartneralléen,8751,42,9.842016,55.923692
2162825,Gartneralléen,8751,43,9.8442265,55.9236555
2162828,Gartneralléen,8751,44,9.841977,55.923472
2162834,Gartneralléen,8751,45,9.844222,55.923522
2162836,Gartneralléen,8751,46,9.842455,55.923481
2162843,Gartneralléen,8751,47,9.844056,55.9233806
2162845,Gartneralléen,8751,48,9.842796,55.923405
2162851,Gartneralléen,8751,49,9.843786,55.923387
2162857,Gartneralléen,8751,51,9.843502,55.92341
2162860,Gartneralléen,8751,53,9.843507,55.923555
2162867,Gartneralléen,8751,55,9.843445,55.923791
2162869,Gartneralléen,8751,57,9.843719,55.92379
2190301,Gammel Kattrupvej,8751,15A,9.876045,55.946311
2198988,Gartneralléen,8751,5A,9.844398,55.926004
